City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,Wind Speed
Bushehr,0,IR,1530320400,58,28.97,50.84,84.2,3.36
Avarua,8,CK,1530325009,100,-21.21,-159.78,73.56,14.65
Castro,92,CL,1530325275,100,-42.48,-73.76,40.35,2.91
Guanica,75,PR,1530323400,88,17.97,-66.91,78.8,10.29
Boddam,12,GB,1530323400,87,57.47,-1.78,51.8,5.82
Atuona,8,PF,1530325279,100,-9.8,-139.03,79.86,19.46
Albany,75,US,1530323700,51,42.65,-73.75,80.6,13.87
Saint-Philippe,1,CA,1530324000,57,45.36,-73.48,77.0,2.24
Artesia,1,US,1530323700,22,32.84,-104.4,91.4,10.29
Portland,20,US,1530323760,44,45.52,-122.67,77.0,9.17
Alyangula,36,AU,1530325284,81,-13.85,136.42,81.21,16.78
Nadvoitsy,92,RU,1530325286,100,63.89,34.27,44.49,16.89
Hasaki,20,JP,1530322200,55,35.73,140.83,89.6,14.99
Port Elizabeth,1,US,1530323760,83,39.31,-74.98,86.0,3.36
Gubkinskiy,0,RU,1530325289,60,64.43,76.5,60.42,16.55
Dalby,32,AU,1530320400,52,-27.18,151.26,68.0,4.7
Punta Arenas,0,CL,1530320400,100,-53.16,-70.91,35.6,26.4
Busselton,100,AU,1530325094,100,-33.64,115.35,63.39,15.99
Vaini,88,IN,1530325294,98,15.34,74.49,70.05,6.15
Aklavik,40,CA,1530324000,55,68.22,-135.01,60.8,13.87
Hobart,40,AU,1530324000,62,-42.88,147.33,53.6,6.93
Ulladulla,40,AU,1530320400,41,-35.36,150.48,60.8,16.11
Ushuaia,90,AR,1530320400,100,-54.81,-68.31,32.0,4.7
Tuatapere,0,NZ,1530325299,100,-46.13,167.69,45.75,5.14
Saint-Joseph,0,FR,1530324000,88,43.56,6.97,71.6,3.36
Jamestown,56,AU,1530325302,65,-33.21,138.6,50.97,7.83
Kalabo,0,ZM,1530325303,56,-15.0,22.67,51.51,8.84
Nikolskoye,75,RU,1530322200,66,59.7,30.79,51.8,20.13
Mataura,0,NZ,1530325305,94,-46.19,168.86,46.02,4.59
Hobyo,8,SO,1530325306,81,5.35,48.53,76.62,17.22
Bethel,90,US,1530323580,59,60.79,-161.76,62.6,5.82
